phishing_type,mfa_type,user_error,fraud_occurred,transaction_stage,transaction_successful,user_awareness_score,industry
SMS,Biometric,Reused password,True,Initiation,True,1,Banking
SMS,Authenticator App,No error,True,Initiation,True,5,Government
Email,SMS,Shared OTP/code,True,Initiation,False,3,Retail
SMS,Authenticator App,Shared OTP/code,True,Initiation,False,2,Banking
SMS,Authenticator App,Shared OTP/code,True,Completion,True,4,Retail
SMS,SMS,Reused password,True,Initiation,True,2,Healthcare
Social Media,Biometric,Shared OTP/code,False,Initiation,True,4,Government
Email,SMS,Clicked malicious link,False,Initiation,False,3,Government
SMS,SMS,No error,False,Initiation,True,1,Retail
Email,SMS,Shared OTP/code,True,Initiation,True,2,Healthcare
SMS,SMS,Shared OTP/code,True,Processing,False,2,Banking
Email,SMS,Clicked malicious link,True,Initiation,True,2,Banking
Email,Authenticator App,Shared OTP/code,False,Initiation,False,4,Government
Email,SMS,Clicked malicious link,True,Completion,True,3,Retail
SMS,Authenticator App,Shared OTP/code,True,Completion,True,2,Retail
SMS,SMS,Clicked malicious link,False,Processing,True,2,Banking
SMS,SMS,Shared OTP/code,True,Initiation,False,1,Healthcare
Social Media,SMS,No error,True,Processing,False,1,Healthcare
SMS,SMS,Clicked malicious link,True,Initiation,True,3,Banking
Email,Authenticator App,No error,True,Initiation,True,3,Banking
SMS,SMS,Shared OTP/code,True,Initiation,True,5,Retail
Email,SMS,Reused password,True,Initiation,False,1,Healthcare
Social Media,SMS,Reused password,True,Initiation,True,5,Banking
Email,Authenticator App,Shared OTP/code,True,Initiation,True,4,Banking
Social Media,Biometric,Reused password,False,Completion,True,5,Government
Email,Authenticator App,Reused password,True,Completion,False,2,Banking
SMS,SMS,Shared OTP/code,True,Processing,True,5,Banking
SMS,SMS,Clicked malicious link,True,Initiation,True,3,Healthcare
Social Media,SMS,Shared OTP/code,False,Completion,True,4,Retail
Email,SMS,Reused password,True,Initiation,False,2,Healthcare
SMS,SMS,Reused password,True,Processing,True,5,Retail
Social Media,SMS,Reused password,False,Initiation,True,4,Government
SMS,SMS,Shared OTP/code,False,Processing,False,4,Banking
SMS,SMS,Reused password,True,Initiation,True,2,Government
SMS,Authenticator App,Clicked malicious link,False,Completion,True,5,Retail
SMS,SMS,Shared OTP/code,True,Completion,True,4,Healthcare
SMS,SMS,Clicked malicious link,True,Initiation,False,4,Healthcare
SMS,Authenticator App,Clicked malicious link,True,Initiation,True,1,Government
Social Media,SMS,Clicked malicious link,True,Completion,False,4,Retail
Email,Authenticator App,Clicked malicious link,False,Initiation,True,1,Government
Email,SMS,Shared OTP/code,True,Completion,True,5,Government
Social Media,SMS,Clicked malicious link,True,Initiation,True,5,Banking
SMS,Authenticator App,Shared OTP/code,False,Initiation,False,5,Government
SMS,Authenticator App,Clicked malicious link,False,Initiation,True,3,Banking
SMS,Authenticator App,Clicked malicious link,True,Initiation,False,5,Banking
Email,SMS,Clicked malicious link,True,Processing,True,4,Healthcare
Email,SMS,Clicked malicious link,True,Initiation,True,2,Banking
SMS,SMS,Shared OTP/code,False,Initiation,True,1,Banking
SMS,SMS,Shared OTP/code,True,Initiation,False,3,Healthcare
SMS,Biometric,Shared OTP/code,False,Initiation,True,5,Government
Email,SMS,Shared OTP/code,True,Completion,True,5,Retail
Social Media,Biometric,Clicked malicious link,True,Completion,True,2,Retail
Social Media,SMS,Reused password,True,Initiation,False,2,Retail
